id,time,from_cell_tower,from_number,to_cell_tower,to_number,call_length
pc@co@02@000001,213940,1231.102,+39 666 55161405,500631.24304,+39 62 2095034,0
pc@co@02@000002,214041,4098.15012,+39 49 00254107,500631.24304,+39 81 82873673,0
pc@co@02@000003,214162,2850.102,+39 637 9942880,500631.24304,+39 16 2893288,0
pc@co@02@000004,214386,29705.12000,+39 961 4403833,500631.24304,+39 845 51661362,0
pc@co@02@000005,214530,1343.61220,+39 10 85138971,500631.24304,+39 270 1079166,0
pc@co@02@000006,215277,6292.15012,+39 341 79 19 0376,500631.24304,+39 7046 53021325,106
pc@co@02@000007,226762,1231.102,+39 666 55161405,500631.24304,+39 62 2095034,0
pc@co@02@000008,226884,4098.15012,+39 49 00254107,500631.24304,+39 81 82873673,0
pc@co@02@000009,227003,2850.102,+39 637 9942880,500631.24304,+39 16 2893288,0
pc@co@02@000010,227233,29705.12000,+39 961 4403833,500631.24304,+39 845 51661362,0
pc@co@02@000011,227304,1343.61220,+39 10 85138971,500631.24304,+39 270 1079166,0
pc@co@02@000012,228183,6292.15012,+39 341 79 19 0376,500631.24304,+39 7046 53021325,70
pc@co@02@000013,232215,1231.102,+39 666 55161405,500631.24304,+39 62 2095034,0
pc@co@02@000014,232352,4098.15012,+39 49 00254107,500631.24304,+39 81 82873673,0
pc@co@02@000015,232501,2850.102,+39 637 9942880,500631.24304,+39 16 2893288,0
pc@co@02@000016,232641,29705.12000,+39 961 4403833,500631.24304,+39 845 51661362,0
pc@co@02@000017,232786,1343.61220,+39 10 85138971,500631.24304,+39 270 1079166,0
pc@co@02@000018,233465,6292.15012,+39 341 79 19 0376,500631.24304,+39 7046 53021325,105
pc@co@02@000019,213656,1231.102,+39 666 55161405,500631.24304,+39 62 2095034,0
pc@co@02@000020,213821,4098.15012,+39 49 00254107,500631.24304,+39 81 82873673,0
pc@co@02@000021,213954,2850.102,+39 637 9942880,500631.24304,+39 16 2893288,0
pc@co@02@000022,214227,29705.12000,+39 961 4403833,500631.24304,+39 845 51661362,0
pc@co@02@000023,214369,1343.61220,+39 10 85138971,500631.24304,+39 270 1079166,0
pc@co@02@000024,215176,1392.102,+39 341 79 19 0376,500631.24304,+39 7046 53021325,150
pc@co@02@000025,211152,1231.102,+39 666 55161405,500631.24304,+39 62 2095034,0
pc@co@02@000026,211278,4098.15012,+39 49 00254107,500631.24304,+39 81 82873673,0
pc@co@02@000027,211399,2850.102,+39 637 9942880,500631.24304,+39 16 2893288,0
pc@co@02@000028,211656,29705.12000,+39 961 4403833,500631.24304,+39 845 51661362,0
pc@co@02@000029,211780,1343.61220,+39 10 85138971,500631.24304,+39 270 1079166,0
pc@co@02@000030,212392,26765.12037,+39 341 79 19 0376,500631.24304,+39 7046 53021325,101
pc@co@02@000031,212493,1231.102,+39 666 55161405,500631.24304,+39 62 2095034,0
pc@co@02@000032,212637,4098.15012,+39 49 00254107,500631.24304,+39 81 82873673,0
pc@co@02@000033,212786,2850.102,+39 637 9942880,500631.24304,+39 16 2893288,0
pc@co@02@000034,212992,29705.12000,+39 961 4403833,500631.24304,+39 845 51661362,0
pc@co@02@000035,213101,1343.61220,+39 10 85138971,500631.24304,+39 270 1079166,0
pc@co@02@000036,213820,500694.10916,+39 341 79 19 0376,500631.24304,+39 7046 53021325,79
pc@co@02@000037,231672,1231.102,+39 666 55161405,500631.24304,+39 62 2095034,0
pc@co@02@000038,231777,4098.15012,+39 49 00254107,500631.24304,+39 81 82873673,0
pc@co@02@000039,231889,2850.102,+39 637 9942880,500631.24304,+39 16 2893288,0
pc@co@02@000040,232077,29705.12000,+39 961 4403833,500631.24304,+39 845 51661362,0
pc@co@02@000041,232257,1343.61220,+39 10 85138971,500631.24304,+39 270 1079166,0
pc@co@02@000042,233053,29245.12037,+39 341 79 19 0376,500631.24304,+39 7046 53021325,121
pc@co@02@000043,216906,1231.102,+39 666 55161405,500631.24304,+39 62 2095034,0
pc@co@02@000044,217034,4098.15012,+39 49 00254107,500631.24304,+39 81 82873673,0
pc@co@02@000045,217120,2850.102,+39 637 9942880,500631.24304,+39 16 2893288,0
pc@co@02@000046,217347,29705.12000,+39 961 4403833,500631.24304,+39 845 51661362,0
pc@co@02@000047,217434,1343.61220,+39 10 85138971,500631.24304,+39 270 1079166,0
pc@co@02@000048,218121,28766.12037,+39 341 79 19 0376,500631.24304,+39 7046 53021325,85
pc@co@02@000049,212690,1231.102,+39 666 55161405,500631.24304,+39 62 2095034,0
pc@co@02@000050,212847,4098.15012,+39 49 00254107,500631.24304,+39 81 82873673,0
pc@co@02@000051,212964,2850.102,+39 637 9942880,500631.24304,+39 16 2893288,0
pc@co@02@000052,213109,29705.12000,+39 961 4403833,500631.24304,+39 845 51661362,0
pc@co@02@000053,213229,1343.61220,+39 10 85138971,500631.24304,+39 270 1079166,0
pc@co@02@000054,213953,28766.12037,+39 341 79 19 0376,500631.24304,+39 7046 53021325,92
pc@co@02@000055,217387,1231.102,+39 666 55161405,500631.24304,+39 62 2095034,0
pc@co@02@000056,217498,4098.15012,+39 49 00254107,500631.24304,+39 81 82873673,0
pc@co@02@000057,217632,2850.102,+39 637 9942880,500631.24304,+39 16 2893288,0
pc@co@02@000058,218020,29705.12000,+39 961 4403833,500631.24304,+39 845 51661362,0
pc@co@02@000059,218091,1343.61220,+39 10 85138971,500631.24304,+39 270 1079166,0
pc@co@02@000060,218782,1239.148,+39 341 79 19 0376,500631.24304,+39 7046 53021325,139
pc@co@02@000061,213356,1231.102,+39 666 55161405,500631.24304,+39 62 2095034,0
pc@co@02@000062,213471,4098.15012,+39 49 00254107,500631.24304,+39 81 82873673,0
pc@co@02@000063,213598,2850.102,+39 637 9942880,500631.24304,+39 16 2893288,0
pc@co@02@000064,213910,29705.12000,+39 961 4403833,500631.24304,+39 845 51661362,0
pc@co@02@000065,214001,1343.61220,+39 10 85138971,500631.24304,+39 270 1079166,0
pc@co@02@000066,214698,29245.12037,+39 341 79 19 0376,500631.24304,+39 7046 53021325,90
pc@co@02@000067,233536,574.102,+39 039 05351948,500631.24304,+39 9881 9142602,0
pc@co@02@000068,233791,27267.13006,+39 171 93 43 1457,500631.24304,+39 9482 20813639,0
pc@co@02@000069,233876,4108.15011,+39 961 4403833,500631.24304,+39 77 37705458,0
pc@co@02@000070,234010,29705.12000,+39 961 4403833,500631.24304,+39 09 7397991,0
pc@co@02@000071,234150,1139.15011,+39 961 4403833,500631.24304,+39 40 98662764,0
pc@co@02@000072,234400,628.109,+39 039 05351948,500631.24304,+39 705 0734715,0
pc@co@02@000073,234870,500707.24676,+39 15 42824010,500631.24304,+39 7046 53021325,156
pc@co@02@000074,205377,574.102,+39 039 05351948,500631.24304,+39 9881 9142602,0
pc@co@02@000075,205613,27267.13006,+39 171 93 43 1457,500631.24304,+39 9482 20813639,0
pc@co@02@000076,205647,4108.15011,+39 961 4403833,500631.24304,+39 77 37705458,0
pc@co@02@000077,205866,29705.12000,+39 961 4403833,500631.24304,+39 09 7397991,0
pc@co@02@000078,205907,1139.15011,+39 961 4403833,500631.24304,+39 40 98662764,0
pc@co@02@000079,206190,628.109,+39 039 05351948,500631.24304,+39 705 0734715,0
pc@co@02@000080,206644,500707.24676,+39 15 42824010,500631.24304,+39 7046 53021325,153
pc@co@02@000081,214586,574.102,+39 039 05351948,500631.24304,+39 9881 9142602,0
pc@co@02@000082,214849,27267.13006,+39 171 93 43 1457,500631.24304,+39 9482 20813639,0
pc@co@02@000083,214930,4108.15011,+39 961 4403833,500631.24304,+39 77 37705458,0
pc@co@02@000084,214969,29705.12000,+39 961 4403833,500631.24304,+39 09 7397991,0
pc@co@02@000085,215106,1139.15011,+39 961 4403833,500631.24304,+39 40 98662764,0
pc@co@02@000086,215518,628.109,+39 039 05351948,500631.24304,+39 705 0734715,0
pc@co@02@000087,216089,500707.24676,+39 15 42824010,500631.24304,+39 7046 53021325,97
pc@co@02@000088,231231,574.102,+39 039 05351948,500631.24304,+39 9881 9142602,0
pc@co@02@000089,231424,27267.13006,+39 171 93 43 1457,500631.24304,+39 9482 20813639,0
pc@co@02@000090,231507,4108.15011,+39 961 4403833,500631.24304,+39 77 37705458,0
pc@co@02@000091,231641,29705.12000,+39 961 4403833,500631.24304,+39 09 7397991,0
pc@co@02@000092,231801,1139.15011,+39 961 4403833,500631.24304,+39 40 98662764,0
pc@co@02@000093,232167,628.109,+39 039 05351948,500631.24304,+39 705 0734715,0
pc@co@02@000094,232848,500707.24676,+39 15 42824010,500631.24304,+39 7046 53021325,66
pc@co@02@000095,226430,574.102,+39 039 05351948,500631.24304,+39 9881 9142602,0
pc@co@02@000096,226620,27267.13006,+39 171 93 43 1457,500631.24304,+39 9482 20813639,0
