id,time,from_cell_tower,from_number,to_cell_tower,to_number,call_length
pc@co@03@000001,301852,29705.12000,+39 961 4403833,500631.24304,+39 09 7397991,0
pc@co@03@000002,301931,4098.15012,+39 49 00254107,500631.24304,+39 81 82873673,0
pc@co@03@000003,302088,27267.13006,+39 171 93 43 1457,500631.24304,+39 9482 20813639,0
pc@co@03@000004,302280,106.61220,+39 039 05351948,500631.24304,+39 3607 7365962,0
pc@co@03@000005,302366,574.102,+39 039 05351948,500631.24304,+39 9881 9142602,0
pc@co@03@000006,302560,1231.102,+39 666 55161405,500631.24304,+39 62 2095034,0
pc@co@03@000007,302667,501204.10950,+39 637 9942880,500631.24304,+39 002 68496598,0
pc@co@03@000008,303188,1305.15011,+39 341 79 19 0376,500631.24304,+39 7046 53021325,126
pc@co@03@000009,301321,29705.12000,+39 961 4403833,500631.24304,+39 09 7397991,0
pc@co@03@000010,301368,4098.15012,+39 49 00254107,500631.24304,+39 81 82873673,0
pc@co@03@000011,301451,27267.13006,+39 171 93 43 1457,500631.24304,+39 9482 20813639,0
pc@co@03@000012,301675,106.61220,+39 039 05351948,500631.24304,+39 3607 7365962,0
pc@co@03@000013,301834,574.102,+39 039 05351948,500631.24304,+39 9881 9142602,0
pc@co@03@000014,302090,1231.102,+39 666 55161405,500631.24304,+39 62 2095034,0
pc@co@03@000015,302231,501204.10950,+39 637 9942880,500631.24304,+39 002 68496598,0
pc@co@03@000016,302664,4327.15011,+39 341 79 19 0376,500631.24304,+39 7046 53021325,150
pc@co@03@000017,318145,29705.12000,+39 961 4403833,500631.24304,+39 09 7397991,0
pc@co@03@000018,318253,4098.15012,+39 49 00254107,500631.24304,+39 81 82873673,0
pc@co@03@000019,318373,27267.13006,+39 171 93 43 1457,500631.24304,+39 9482 20813639,0
pc@co@03@000020,318564,106.61220,+39 039 05351948,500631.24304,+39 3607 7365962,0
pc@co@03@000021,318697,574.102,+39 039 05351948,500631.24304,+39 9881 9142602,0
pc@co@03@000022,318932,1231.102,+39 666 55161405,500631.24304,+39 62 2095034,0
pc@co@03@000023,319051,501204.10950,+39 637 9942880,500631.24304,+39 002 68496598,0
pc@co@03@000024,319479,501479.10919,+39 341 79 19 0376,500631.24304,+39 7046 53021325,123
pc@co@03@000025,317800,29705.12000,+39 961 4403833,500631.24304,+39 09 7397991,0
pc@co@03@000026,317889,4098.15012,+39 49 00254107,500631.24304,+39 81 82873673,0
pc@co@03@000027,317979,27267.13006,+39 171 93 43 1457,500631.24304,+39 9482 20813639,0
pc@co@03@000028,318183,106.61220,+39 039 05351948,500631.24304,+39 3607 7365962,0
pc@co@03@000029,318261,574.102,+39 039 05351948,500631.24304,+39 9881 9142602,0
pc@co@03@000030,318468,1231.102,+39 666 55161405,500631.24304,+39 62 2095034,0
pc@co@03@000031,318557,501204.10950,+39 637 9942880,500631.24304,+39 002 68496598,0
pc@co@03@000032,319002,1305.15011,+39 341 79 19 0376,500631.24304,+39 7046 53021325,131
pc@co@03@000033,295398,29705.12000,+39 961 4403833,500631.24304,+39 09 7397991,0
pc@co@03@000034,295467,4098.15012,+39 49 00254107,500631.24304,+39 81 82873673,0
pc@co@03@000035,295589,27267.13006,+39 171 93 43 1457,500631.24304,+39 9482 20813639,0
pc@co@03@000036,295874,106.61220,+39 039 05351948,500631.24304,+39 3607 7365962,0
pc@co@03@000037,295986,574.102,+39 039 05351948,500631.24304,+39 9881 9142602,0
pc@co@03@000038,296214,1231.102,+39 666 55161405,500631.24304,+39 62 2095034,0
pc@co@03@000039,296413,501204.10950,+39 637 9942880,500631.24304,+39 002 68496598,0
pc@co@03@000040,296756,1305.15011,+39 341 79 19 0376,500631.24304,+39 7046 53021325,141
pc@co@03@000041,293408,29705.12000,+39 961 4403833,500631.24304,+39 09 7397991,0
pc@co@03@000042,293551,4098.15012,+39 49 00254107,500631.24304,+39 81 82873673,0
pc@co@03@000043,293700,27267.13006,+39 171 93 43 1457,500631.24304,+39 9482 20813639,0
pc@co@03@000044,293813,106.61220,+39 039 05351948,500631.24304,+39 3607 7365962,0
pc@co@03@000045,293962,574.102,+39 039 05351948,500631.24304,+39 9881 9142602,0
pc@co@03@000046,294214,1231.102,+39 666 55161405,500631.24304,+39 62 2095034,0
pc@co@03@000047,294308,501204.10950,+39 637 9942880,500631.24304,+39 002 68496598,0
pc@co@03@000048,294764,1305.15011,+39 341 79 19 0376,500631.24304,+39 7046 53021325,169
pc@co@03@000049,297159,29705.12000,+39 961 4403833,500631.24304,+39 09 7397991,0
pc@co@03@000050,297272,4098.15012,+39 49 00254107,500631.24304,+39 81 82873673,0
pc@co@03@000051,297401,27267.13006,+39 171 93 43 1457,500631.24304,+39 9482 20813639,0
pc@co@03@000052,297542,106.61220,+39 039 05351948,500631.24304,+39 3607 7365962,0
pc@co@03@000053,297636,574.102,+39 039 05351948,500631.24304,+39 9881 9142602,0
pc@co@03@000054,297904,1231.102,+39 666 55161405,500631.24304,+39 62 2095034,0
pc@co@03@000055,298017,501204.10950,+39 637 9942880,500631.24304,+39 002 68496598,0
pc@co@03@000056,298391,4327.15011,+39 341 79 19 0376,500631.24304,+39 7046 53021325,141
pc@co@03@000057,317413,29705.12000,+39 961 4403833,500631.24304,+39 09 7397991,0
pc@co@03@000058,317520,4098.15012,+39 49 00254107,500631.24304,+39 81 82873673,0
pc@co@03@000059,317613,27267.13006,+39 171 93 43 1457,500631.24304,+39 9482 20813639,0
pc@co@03@000060,317801,106.61220,+39 039 05351948,500631.24304,+39 3607 7365962,0
pc@co@03@000061,317937,574.102,+39 039 05351948,500631.24304,+39 9881 9142602,0
pc@co@03@000062,318193,1231.102,+39 666 55161405,500631.24304,+39 62 2095034,0
pc@co@03@000063,318292,501204.10950,+39 637 9942880,500631.24304,+39 002 68496598,0
pc@co@03@000064,318680,1305.15011,+39 341 79 19 0376,500631.24304,+39 7046 53021325,81
pc@co@03@000065,304800,29705.12000,+39 961 4403833,500631.24304,+39 09 7397991,0
pc@co@03@000066,304952,4098.15012,+39 49 00254107,500631.24304,+39 81 82873673,0
pc@co@03@000067,305077,27267.13006,+39 171 93 43 1457,500631.24304,+39 9482 20813639,0
pc@co@03@000068,305372,106.61220,+39 039 05351948,500631.24304,+39 3607 7365962,0
pc@co@03@000069,305484,574.102,+39 039 05351948,500631.24304,+39 9881 9142602,0
pc@co@03@000070,305728,1231.102,+39 666 55161405,500631.24304,+39 62 2095034,0
pc@co@03@000071,305779,501204.10950,+39 637 9942880,500631.24304,+39 002 68496598,0
pc@co@03@000072,306154,1305.15011,+39 341 79 19 0376,500631.24304,+39 7046 53021325,142
pc@co@03@000073,295236,29705.12000,+39 961 4403833,500631.24304,+39 09 7397991,0
pc@co@03@000074,295353,4098.15012,+39 49 00254107,500631.24304,+39 81 82873673,0
pc@co@03@000075,295449,27267.13006,+39 171 93 43 1457,500631.24304,+39 9482 20813639,0
pc@co@03@000076,295605,106.61220,+39 039 05351948,500631.24304,+39 3607 7365962,0
pc@co@03@000077,295651,574.102,+39 039 05351948,500631.24304,+39 9881 9142602,0
pc@co@03@000078,295929,1231.102,+39 666 55161405,500631.24304,+39 62 2095034,0
pc@co@03@000079,296055,501204.10950,+39 637 9942880,500631.24304,+39 002 68496598,0
pc@co@03@000080,296453,29176.12035,+39 341 79 19 0376,500631.24304,+39 7046 53021325,76
pc@co@03@000081,301517,29705.12000,+39 961 4403833,500631.24304,+39 09 7397991,0
pc@co@03@000082,301669,4098.15012,+39 49 00254107,500631.24304,+39 81 82873673,0
pc@co@03@000083,301776,27267.13006,+39 171 93 43 1457,500631.24304,+39 9482 20813639,0
pc@co@03@000084,302025,106.61220,+39 039 05351948,500631.24304,+39 3607 7365962,0
pc@co@03@000085,302122,574.102,+39 039 05351948,500631.24304,+39 9881 9142602,0
pc@co@03@000086,302385,1231.102,+39 666 55161405,500631.24304,+39 62 2095034,0
pc@co@03@000087,302520,501204.10950,+39 637 9942880,500631.24304,+39 002 68496598,0
pc@co@03@000088,302875,501068.10919,+39 341 79 19 0376,500631.24304,+39 7046 53021325,109
pc@co@03@000089,312990,29705.12000,+39 961 4403833,500631.24304,+39 09 7397991,0
pc@co@03@000090,313149,4098.15012,+39 49 00254107,500631.24304,+39 81 82873673,0
pc@co@03@000091,313249,27267.13006,+39 171 93 43 1457,500631.24304,+39 9482 20813639,0
pc@co@03@000092,313530,106.61220,+39 039 05351948,500631.24304,+39 3607 7365962,0
pc@co@03@000093,313654,574.102,+39 039 05351948,500631.24304,+39 9881 9142602,0
pc@co@03@000094,313841,1231.102,+39 666 55161405,500631.24304,+39 62 2095034,0
pc@co@03@000095,313988,501204.10950,+39 637 9942880,500631.24304,+39 002 68496598,0
pc@co@03@000096,314367,4327.15011,+39 341 79 19 0376,500631.24304,+39 7046 53021325,109
pc@co@03@000097,317915,29705.12000,+39 961 4403833,500631.24304,+39 09 7397991,0
pc@co@03@000098,318031,4098.15012,+39 49 00254107,500631.24304,+39 81 82873673,0
pc@co@03@000099,318177,27267.13006,+39 171 93 43 1457,500631.24304,+39 9482 20813639,0
pc@co@03@000100,318402,106.61220,+39 039 05351948,500631.24304,+39 3607 7365962,0
pc@co@03@000101,318580,574.102,+39 039 05351948,500631.24304,+39 9881 9142602,0
pc@co@03@000102,318852,1231.102,+39 666 55161405,500631.24304,+39 62 2095034,0
pc@co@03@000103,318927,501204.10950,+39 637 9942880,500631.24304,+39 002 68496598,0
pc@co@03@000104,319461,4327.15011,+39 341 79 19 0376,500631.24304,+39 7046 53021325,80
pc@co@03@000105,300802,29705.12000,+39 961 4403833,500631.24304,+39 09 7397991,0
pc@co@03@000106,300935,4098.15012,+39 49 00254107,500631.24304,+39 81 82873673,0
pc@co@03@000107,301045,27267.13006,+39 171 93 43 1457,500631.24304,+39 9482 20813639,0
pc@co@03@000108,301373,106.61220,+39 039 05351948,500631.24304,+39 3607 7365962,0
pc@co@03@000109,301491,574.102,+39 039 05351948,500631.24304,+39 9881 9142602,0
pc@co@03@000110,301704,1231.102,+39 666 55161405,500631.24304,+39 62 2095034,0
pc@co@03@000111,301864,501204.10950,+39 637 9942880,500631.24304,+39 002 68496598,0
pc@co@03@000112,302229,501478.24676,+39 341 79 19 0376,500631.24304,+39 7046 53021325,147
pc@co@03@000113,296414,29705.12000,+39 961 4403833,500631.24304,+39 09 7397991,0
pc@co@03@000114,296611,4098.15012,+39 49 00254107,500631.24304,+39 81 82873673,0
pc@co@03@000115,296755,27267.13006,+39 171 93 43 1457,500631.24304,+39 9482 20813639,0
pc@co@03@000116,297003,106.61220,+39 039 05351948,500631.24304,+39 3607 7365962,0
pc@co@03@000117,297115,574.102,+39 039 05351948,500631.24304,+39 9881 9142602,0
pc@co@03@000118,297345,1231.102,+39 666 55161405,500631.24304,+39 62 2095034,0
pc@co@03@000119,297395,501204.10950,+39 637 9942880,500631.24304,+39 002 68496598,0
pc@co@03@000120,297774,26194.12032,+39 341 79 19 0376,500631.24304,+39 7046 53021325,116
pc@co@03@000121,299476,29705.12000,+39 961 4403833,500631.24304,+39 09 7397991,0
pc@co@03@000122,299581,4098.15012,+39 49 00254107,500631.24304,+39 81 82873673,0
pc@co@03@000123,299670,27267.13006,+39 171 93 43 1457,500631.24304,+39 9482 20813639,0
pc@co@03@000124,299996,106.61220,+39 039 05351948,500631.24304,+39 3607 7365962,0
pc@co@03@000125,300123,574.102,+39 039 05351948,500631.24304,+39 9881 9142602,0
pc@co@03@000126,300329,1231.102,+39 666 55161405,500631.24304,+39 62 2095034,0
pc@co@03@000127,300493,501204.10950,+39 637 9942880,500631.24304,+39 002 68496598,0
pc@co@03@000128,300868,26194.12032,+39 341 79 19 0376,500631.24304,+39 7046 53021325,155
pc@co@03@000129,315654,29705.12000,+39 961 4403833,500631.24304,+39 09 7397991,0
pc@co@03@000130,315811,4098.15012,+39 49 00254107,500631.24304,+39 81 82873673,0
pc@co@03@000131,315942,27267.13006,+39 171 93 43 1457,500631.24304,+39 9482 20813639,0
pc@co@03@000132,316234,106.61220,+39 039 05351948,500631.24304,+39 3607 7365962,0
pc@co@03@000133,316368,574.102,+39 039 05351948,500631.24304,+39 9881 9142602,0
pc@co@03@000134,316616,1231.102,+39 666 55161405,500631.24304,+39 62 2095034,0
pc@co@03@000135,316741,501204.10950,+39 637 9942880,500631.24304,+39 002 68496598,0
pc@co@03@000136,317167,1305.15014,+39 341 79 19 0376,500631.24304,+39 7046 53021325,177
pc@co@03@000137,304734,29705.12000,+39 961 4403833,500631.24304,+39 09 7397991,0
pc@co@03@000138,304855,4098.15012,+39 49 00254107,500631.24304,+39 81 82873673,0
pc@co@03@000139,304978,27267.13006,+39 171 93 43 1457,500631.24304,+39 9482 20813639,0
pc@co@03@000140,305254,106.61220,+39 039 05351948,500631.24304,+39 3607 7365962,0
pc@co@03@000141,305434,574.102,+39 039 05351948,500631.24304,+39 9881 9142602,0
pc@co@03@000142,305704,1231.102,+39 666 55161405,500631.24304,+39 62 2095034,0
pc@co@03@000143,305833,501204.10950,+39 637 9942880,500631.24304,+39 002 68496598,0
pc@co@03@000144,306127,1305.15014,+39 341 79 19 0376,500631.24304,+39 7046 53021325,141
pc@co@03@000145,306924,29705.12000,+39 961 4403833,500631.24304,+39 09 7397991,0
pc@co@03@000146,307024,4098.15012,+39 49 00254107,500631.24304,+39 81 82873673,0
pc@co@03@000147,307140,27267.13006,+39 171 93 43 1457,500631.24304,+39 9482 20813639,0
pc@co@03@000148,307372,106.61220,+39 039 05351948,500631.24304,+39 3607 7365962,0
pc@co@03@000149,307541,574.102,+39 039 05351948,500631.24304,+39 9881 9142602,0
pc@co@03@000150,307814,1231.102,+39 666 55161405,500631.24304,+39 62 2095034,0
pc@co@03@000151,307932,501204.10950,+39 637 9942880,500631.24304,+39 002 68496598,0
pc@co@03@000152,308397,501479.10919,+39 341 79 19 0376,500631.24304,+39 7046 53021325,147
pc@co@03@000153,304286,29705.12000,+39 961 4403833,500631.24304,+39 09 7397991,0
pc@co@03@000154,304379,4098.15012,+39 49 00254107,500631.24304,+39 81 82873673,0
pc@co@03@000155,304508,27267.13006,+39 171 93 43 1457,500631.24304,+39 9482 20813639,0
pc@co@03@000156,304750,106.61220,+39 039 05351948,500631.24304,+39 3607 7365962,0
pc@co@03@000157,304860,574.102,+39 039 05351948,500631.24304,+39 9881 9142602,0
pc@co@03@000158,305082,1231.102,+39 666 55161405,500631.24304,+39 62 2095034,0
pc@co@03@000159,305200,501204.10950,+39 637 9942880,500631.24304,+39 002 68496598,0
pc@co@03@000160,305538,2699.15014,+39 341 79 19 0376,500631.24304,+39 7046 53021325,116
pc@co@03@000161,308028,29705.12000,+39 961 4403833,500631.24304,+39 09 7397991,0
pc@co@03@000162,308201,4098.15012,+39 49 00254107,500631.24304,+39 81 82873673,0
pc@co@03@000163,308363,27267.13006,+39 171 93 43 1457,500631.24304,+39 9482 20813639,0
pc@co@03@000164,308540,106.61220,+39 039 05351948,500631.24304,+39 3607 7365962,0
pc@co@03@000165,308691,574.102,+39 039 05351948,500631.24304,+39 9881 9142602,0
pc@co@03@000166,308899,1231.102,+39 666 55161405,500631.24304,+39 62 2095034,0
pc@co@03@000167,309029,501204.10950,+39 637 9942880,500631.24304,+39 002 68496598,0
pc@co@03@000168,309458,2699.15014,+39 341 79 19 0376,500631.24304,+39 7046 53021325,81
pc@co@03@000169,318000,29705.12000,+39 961 4403833,500631.24304,+39 09 7397991,0
pc@co@03@000170,318154,4098.15012,+39 49 00254107,500631.24304,+39 81 82873673,0
pc@co@03@000171,318263,27267.13006,+39 171 93 43 1457,500631.24304,+39 9482 20813639,0
pc@co@03@000172,318450,106.61220,+39 039 05351948,500631.24304,+39 3607 7365962,0
pc@co@03@000173,318517,574.102,+39 039 05351948,500631.24304,+39 9881 9142602,0
pc@co@03@000174,318713,1231.102,+39 666 55161405,500631.24304,+39 62 2095034,0
pc@co@03@000175,318821,501204.10950,+39 637 9942880,500631.24304,+39 002 68496598,0
pc@co@03@000176,319207,1305.15014,+39 341 79 19 0376,500631.24304,+39 7046 53021325,121
pc@co@03@000177,305093,29705.12000,+39 961 4403833,500631.24304,+39 09 7397991,0
pc@co@03@000178,305210,4098.15012,+39 49 00254107,500631.24304,+39 81 82873673,0
pc@co@03@000179,305310,27267.13006,+39 171 93 43 1457,500631.24304,+39 9482 20813639,0
pc@co@03@000180,305607,106.61220,+39 039 05351948,500631.24304,+39 3607 7365962,0
pc@co@03@000181,305704,574.102,+39 039 05351948,500631.24304,+39 9881 9142602,0
pc@co@03@000182,306004,1231.102,+39 666 55161405,500631.24304,+39 62 2095034,0
pc@co@03@000183,306179,501204.10950,+39 637 9942880,500631.24304,+39 002 68496598,0
pc@co@03@000184,306622,501479.10919,+39 341 79 19 0376,500631.24304,+39 7046 53021325,103
pc@co@03@000185,296262,29705.12000,+39 961 4403833,500631.24304,+39 09 7397991,0
pc@co@03@000186,296401,4098.15012,+39 49 00254107,500631.24304,+39 81 82873673,0
pc@co@03@000187,296525,27267.13006,+39 171 93 43 1457,500631.24304,+39 9482 20813639,0
pc@co@03@000188,296859,106.61220,+39 039 05351948,500631.24304,+39 3607 7365962,0
pc@co@03@000189,296913,574.102,+39 039 05351948,500631.24304,+39 9881 9142602,0
pc@co@03@000190,297214,1231.102,+39 666 55161405,500631.24304,+39 62 2095034,0
pc@co@03@000191,297328,501204.10950,+39 637 9942880,500631.24304,+39 002 68496598,0
pc@co@03@000192,297658,107.61208,+39 341 79 19 0376,500631.24304,+39 7046 53021325,136
pc@co@03@000193,310830,29705.12000,+39 961 4403833,500631.24304,+39 09 7397991,0
pc@co@03@000194,310936,4098.15012,+39 49 00254107,500631.24304,+39 81 82873673,0
pc@co@03@000195,311012,27267.13006,+39 171 93 43 1457,500631.24304,+39 9482 20813639,0
