id,time,atm,debit_card,amount
wd@co@04@000001,406353,E12A7FC9-3030-66C3-E040-A8C08F26360C,4336113015565797,250
wd@co@04@000002,406434,E12A7FC9-3030-66C3-E040-A8C08F26360C,4883472282692321,250
wd@co@04@000003,406497,E12A7FC9-3030-66C3-E040-A8C08F26360C,4670158184088067,250
wd@co@04@000004,406596,E12A7FC9-3030-66C3-E040-A8C08F26360C,4955563928303795,250
wd@co@04@000005,406764,E12A7FC9-3030-66C3-E040-A8C08F26360C,4885835481501162,250
wd@co@04@000006,406867,E12A7FC9-3030-66C3-E040-A8C08F26360C,4772006195851311,250
wd@co@04@000007,407038,E12A7FC9-3030-66C3-E040-A8C08F26360C,4975322469422597,250
wd@co@04@000008,407148,E12A7FC9-3030-66C3-E040-A8C08F26360C,4848412031759629,250
wd@co@04@000009,407273,E12A7FC9-3030-66C3-E040-A8C08F26360C,4614075832176228,250
wd@co@04@000010,407365,E12A7FC9-3030-66C3-E040-A8C08F26360C,4934665354947593,250
wd@co@04@000011,399749,E12A7FC3-E26D-66C3-E040-A8C08F26360C,4336113015565797,250
wd@co@04@000012,399852,E12A7FC3-E26D-66C3-E040-A8C08F26360C,4883472282692321,250
wd@co@04@000013,400001,E12A7FC3-E26D-66C3-E040-A8C08F26360C,4670158184088067,250
wd@co@04@000014,400096,E12A7FC3-E26D-66C3-E040-A8C08F26360C,4955563928303795,250
wd@co@04@000015,400177,E12A7FC3-E26D-66C3-E040-A8C08F26360C,4885835481501162,250
wd@co@04@000016,400295,E12A7FC3-E26D-66C3-E040-A8C08F26360C,4772006195851311,250
wd@co@04@000017,400393,E12A7FC3-E26D-66C3-E040-A8C08F26360C,4975322469422597,250
wd@co@04@000018,400486,E12A7FC3-E26D-66C3-E040-A8C08F26360C,4848412031759629,250
wd@co@04@000019,400600,E12A7FC3-E26D-66C3-E040-A8C08F26360C,4614075832176228,250
wd@co@04@000020,400714,E12A7FC3-E26D-66C3-E040-A8C08F26360C,4934665354947593,250
wd@co@04@000021,384923,E12A7FCF-F24E-66C3-E040-A8C08F26360C,4336113015565797,250
wd@co@04@000022,385023,E12A7FCF-F24E-66C3-E040-A8C08F26360C,4883472282692321,250
wd@co@04@000023,385163,E12A7FCF-F24E-66C3-E040-A8C08F26360C,4670158184088067,250
wd@co@04@000024,385301,E12A7FCF-F24E-66C3-E040-A8C08F26360C,4955563928303795,250
wd@co@04@000025,385406,E12A7FCF-F24E-66C3-E040-A8C08F26360C,4885835481501162,250
wd@co@04@000026,385530,E12A7FCF-F24E-66C3-E040-A8C08F26360C,4772006195851311,250
wd@co@04@000027,385641,E12A7FCF-F24E-66C3-E040-A8C08F26360C,4975322469422597,250
wd@co@04@000028,385765,E12A7FCF-F24E-66C3-E040-A8C08F26360C,4848412031759629,250
wd@co@04@000029,385924,E12A7FCF-F24E-66C3-E040-A8C08F26360C,4614075832176228,250
wd@co@04@000030,386012,E12A7FCF-F24E-66C3-E040-A8C08F26360C,4934665354947593,250
wd@co@04@000031,398829,E12A7FC6-A7B0-66C3-E040-A8C08F26360C,4336113015565797,250
wd@co@04@000032,398975,E12A7FC6-A7B0-66C3-E040-A8C08F26360C,4883472282692321,250
wd@co@04@000033,399090,E12A7FC6-A7B0-66C3-E040-A8C08F26360C,4670158184088067,250
wd@co@04@000034,399157,E12A7FC6-A7B0-66C3-E040-A8C08F26360C,4955563928303795,250
wd@co@04@000035,399230,E12A7FC6-A7B0-66C3-E040-A8C08F26360C,4885835481501162,250
wd@co@04@000036,399367,E12A7FC6-A7B0-66C3-E040-A8C08F26360C,4772006195851311,250
wd@co@04@000037,399461,E12A7FC6-A7B0-66C3-E040-A8C08F26360C,4975322469422597,250
wd@co@04@000038,399568,E12A7FC6-A7B0-66C3-E040-A8C08F26360C,4848412031759629,250
wd@co@04@000039,399690,E12A7FC6-A7B0-66C3-E040-A8C08F26360C,4614075832176228,250
wd@co@04@000040,399828,E12A7FC6-A7B0-66C3-E040-A8C08F26360C,4934665354947593,250
wd@co@04@000041,382373,E7464F3C-08EB-49FB-E040-A8C08D2637ED,4336113015565797,250
wd@co@04@000042,382537,E7464F3C-08EB-49FB-E040-A8C08D2637ED,4883472282692321,250
wd@co@04@000043,382652,E7464F3C-08EB-49FB-E040-A8C08D2637ED,4670158184088067,250
wd@co@04@000044,382743,E7464F3C-08EB-49FB-E040-A8C08D2637ED,4955563928303795,250
wd@co@04@000045,382843,E7464F3C-08EB-49FB-E040-A8C08D2637ED,4885835481501162,250
wd@co@04@000046,382979,E7464F3C-08EB-49FB-E040-A8C08D2637ED,4772006195851311,250
wd@co@04@000047,383079,E7464F3C-08EB-49FB-E040-A8C08D2637ED,4975322469422597,250
wd@co@04@000048,383183,E7464F3C-08EB-49FB-E040-A8C08D2637ED,4848412031759629,250
wd@co@04@000049,383258,E7464F3C-08EB-49FB-E040-A8C08D2637ED,4614075832176228,250
wd@co@04@000050,383406,E7464F3C-08EB-49FB-E040-A8C08D2637ED,4934665354947593,250
wd@co@04@000051,389861,E12A7FB2-6C69-66C3-E040-A8C08F26360C,4501056311323370,250
