id,time,from_cell_tower,from_number,to_cell_tower,to_number,call_length
pc@co@04@000001,406376,2850.102,+39 637 9942880,500631.24304,+39 16 2893288,0
pc@co@04@000002,406515,501204.10950,+39 637 9942880,500631.24304,+39 002 68496598,0
pc@co@04@000003,406630,1343.61220,+39 10 85138971,500631.24304,+39 270 1079166,0
pc@co@04@000004,406788,106.61220,+39 039 05351948,500631.24304,+39 3607 7365962,0
pc@co@04@000005,407169,4108.15011,+39 961 4403833,500631.24304,+39 77 37705458,0
pc@co@04@000006,407398,4098.15012,+39 49 00254107,500631.24304,+39 81 82873673,0
pc@co@04@000007,407745,1605.151,+39 341 79 19 0376,500631.24304,+39 7046 53021325,72
pc@co@04@000008,399768,2850.102,+39 637 9942880,500631.24304,+39 16 2893288,0
pc@co@04@000009,400031,501204.10950,+39 637 9942880,500631.24304,+39 002 68496598,0
pc@co@04@000010,400142,1343.61220,+39 10 85138971,500631.24304,+39 270 1079166,0
pc@co@04@000011,400203,106.61220,+39 039 05351948,500631.24304,+39 3607 7365962,0
pc@co@04@000012,400523,4108.15011,+39 961 4403833,500631.24304,+39 77 37705458,0
pc@co@04@000013,400735,4098.15012,+39 49 00254107,500631.24304,+39 81 82873673,0
pc@co@04@000014,401158,1605.151,+39 341 79 19 0376,500631.24304,+39 7046 53021325,140
pc@co@04@000015,384980,2850.102,+39 637 9942880,500631.24304,+39 16 2893288,0
pc@co@04@000016,385195,501204.10950,+39 637 9942880,500631.24304,+39 002 68496598,0
pc@co@04@000017,385345,1343.61220,+39 10 85138971,500631.24304,+39 270 1079166,0
pc@co@04@000018,385433,106.61220,+39 039 05351948,500631.24304,+39 3607 7365962,0
pc@co@04@000019,385794,4108.15011,+39 961 4403833,500631.24304,+39 77 37705458,0
pc@co@04@000020,386049,4098.15012,+39 49 00254107,500631.24304,+39 81 82873673,0
pc@co@04@000021,386489,501154.24303,+39 341 79 19 0376,500631.24304,+39 7046 53021325,100
pc@co@04@000022,398865,2850.102,+39 637 9942880,500631.24304,+39 16 2893288,0
pc@co@04@000023,399115,501204.10950,+39 637 9942880,500631.24304,+39 002 68496598,0
pc@co@04@000024,399189,1343.61220,+39 10 85138971,500631.24304,+39 270 1079166,0
pc@co@04@000025,399251,106.61220,+39 039 05351948,500631.24304,+39 3607 7365962,0
pc@co@04@000026,399587,4108.15011,+39 961 4403833,500631.24304,+39 77 37705458,0
