id,time,atm,debit_card,amount
wd@co@01@000001,146657,92D856DE-778D-7151-E050-020A3E7461FC,4736604319764504,250
wd@co@01@000002,146721,92D856DE-778D-7151-E050-020A3E7461FC,4233728409347850,250
wd@co@01@000003,146831,92D856DE-778D-7151-E050-020A3E7461FC,4954178571453994,250
wd@co@01@000004,146964,92D856DE-778D-7151-E050-020A3E7461FC,4848412031759629,250
wd@co@01@000005,147076,92D856DE-778D-7151-E050-020A3E7461FC,4513279611595713,250
wd@co@01@000006,147155,92D856DE-778D-7151-E050-020A3E7461FC,4796043928064732,250
wd@co@01@000007,147296,92D856DE-778D-7151-E050-020A3E7461FC,4340716119015891,250
wd@co@01@000008,147426,92D856DE-778D-7151-E050-020A3E7461FC,4198108325782972,250
wd@co@01@000009,147548,92D856DE-778D-7151-E050-020A3E7461FC,4695092146844401,250
wd@co@01@000010,147697,92D856DE-778D-7151-E050-020A3E7461FC,4359761994450779,250
wd@co@01@000011,120698,E12A7FB1-4D4B-66C3-E040-A8C08F26360C,4736604319764504,250
wd@co@01@000012,120813,E12A7FB1-4D4B-66C3-E040-A8C08F26360C,4233728409347850,250
wd@co@01@000013,120930,E12A7FB1-4D4B-66C3-E040-A8C08F26360C,4954178571453994,250
wd@co@01@000014,121011,E12A7FB1-4D4B-66C3-E040-A8C08F26360C,4848412031759629,250
wd@co@01@000015,121164,E12A7FB1-4D4B-66C3-E040-A8C08F26360C,4513279611595713,250
wd@co@01@000016,121293,E12A7FB1-4D4B-66C3-E040-A8C08F26360C,4796043928064732,250
wd@co@01@000017,121427,E12A7FB1-4D4B-66C3-E040-A8C08F26360C,4340716119015891,250
wd@co@01@000018,121498,E12A7FB1-4D4B-66C3-E040-A8C08F26360C,4198108325782972,250
wd@co@01@000019,121572,E12A7FB1-4D4B-66C3-E040-A8C08F26360C,4695092146844401,250
wd@co@01@000020,121753,E12A7FB1-4D4B-66C3-E040-A8C08F26360C,4359761994450779,250
wd@co@01@000021,145389,E12A7FCC-83E7-66C3-E040-A8C08F26360C,4736604319764504,250
