id,time,atm,debit_card,amount
wd@co@03@000001,301722,E12A7FD6-1D80-66C3-E040-A8C08F26360C,4614075832176228,250
wd@co@03@000002,301830,E12A7FD6-1D80-66C3-E040-A8C08F26360C,4111856349063969,250
wd@co@03@000003,301898,E12A7FD6-1D80-66C3-E040-A8C08F26360C,4934665354947593,250
wd@co@03@000004,302049,E12A7FD6-1D80-66C3-E040-A8C08F26360C,4695092146844401,250
wd@co@03@000005,302147,E12A7FD6-1D80-66C3-E040-A8C08F26360C,4954178571453994,250
wd@co@03@000006,302248,E12A7FD6-1D80-66C3-E040-A8C08F26360C,4885835481501162,250
wd@co@03@000007,302335,E12A7FD6-1D80-66C3-E040-A8C08F26360C,4861799370600154,250
wd@co@03@000008,302428,E12A7FD6-1D80-66C3-E040-A8C08F26360C,4628056044434443,250
wd@co@03@000009,302522,E12A7FD6-1D80-66C3-E040-A8C08F26360C,4639643189032277,250
wd@co@03@000010,302634,E12A7FD6-1D80-66C3-E040-A8C08F26360C,4670158184088067,250
wd@co@03@000011,301201,09AEECEB-CA7A-6451-E050-A8C08F2674B4,4614075832176228,250
wd@co@03@000012,301286,09AEECEB-CA7A-6451-E050-A8C08F2674B4,4111856349063969,250
wd@co@03@000013,301336,09AEECEB-CA7A-6451-E050-A8C08F2674B4,4934665354947593,250
wd@co@03@000014,301424,09AEECEB-CA7A-6451-E050-A8C08F2674B4,4695092146844401,250
wd@co@03@000015,301541,09AEECEB-CA7A-6451-E050-A8C08F2674B4,4954178571453994,250
wd@co@03@000016,301642,09AEECEB-CA7A-6451-E050-A8C08F2674B4,4885835481501162,250
wd@co@03@000017,301800,09AEECEB-CA7A-6451-E050-A8C08F2674B4,4861799370600154,250
wd@co@03@000018,301940,09AEECEB-CA7A-6451-E050-A8C08F2674B4,4628056044434443,250
wd@co@03@000019,302066,09AEECEB-CA7A-6451-E050-A8C08F2674B4,4639643189032277,250
wd@co@03@000020,302185,09AEECEB-CA7A-6451-E050-A8C08F2674B4,4670158184088067,250
wd@co@03@000021,317949,E12A7FCE-652B-66C3-E040-A8C08F26360C,4614075832176228,250
wd@co@03@000022,318114,E12A7FCE-652B-66C3-E040-A8C08F26360C,4111856349063969,250
wd@co@03@000023,318236,E12A7FCE-652B-66C3-E040-A8C08F26360C,4934665354947593,250
