id,time,from_cell_tower,from_number,to_cell_tower,to_number,call_length
pc@co@01@000001,146970,4108.15011,+39 961 4403833,500631.24304,+39 77 37705458,0
pc@co@01@000002,147170,5665.15006,+39 961 4403833,500631.24304,+39 17 7129637,0
pc@co@01@000003,147455,4098.15016,+39 601 79 81 8080,500631.24304,+39 81 32099707,0
pc@co@01@000004,147566,27267.13006,+39 171 93 43 1457,500631.24304,+39 9482 20813639,0
pc@co@01@000005,147730,628.109,+39 039 05351948,500631.24304,+39 705 0734715,0
pc@co@01@000006,148179,1983.151,+39 341 79 19 0376,500631.24304,+39 7046 53021325,167
pc@co@01@000007,121043,4108.15011,+39 961 4403833,500631.24304,+39 77 37705458,0
pc@co@01@000008,121323,5665.15006,+39 961 4403833,500631.24304,+39 17 7129637,0
pc@co@01@000009,121518,4098.15016,+39 601 79 81 8080,500631.24304,+39 81 32099707,0
pc@co@01@000010,121574,27267.13006,+39 171 93 43 1457,500631.24304,+39 9482 20813639,0
pc@co@01@000011,121775,628.109,+39 039 05351948,500631.24304,+39 705 0734715,0
pc@co@01@000012,122211,1983.151,+39 341 79 19 0376,500631.24304,+39 7046 53021325,72
pc@co@01@000013,145838,4108.15011,+39 961 4403833,500631.24304,+39 77 37705458,0
pc@co@01@000014,146148,5665.15006,+39 961 4403833,500631.24304,+39 17 7129637,0
pc@co@01@000015,146404,4098.15016,+39 601 79 81 8080,500631.24304,+39 81 32099707,0
pc@co@01@000016,146504,27267.13006,+39 171 93 43 1457,500631.24304,+39 9482 20813639,0
pc@co@01@000017,146612,628.109,+39 039 05351948,500631.24304,+39 705 0734715,0
pc@co@01@000018,147010,1983.151,+39 341 79 19 0376,500631.24304,+39 7046 53021325,117
pc@co@01@000019,131886,4108.15011,+39 961 4403833,500631.24304,+39 77 37705458,0
pc@co@01@000020,132186,5665.15006,+39 961 4403833,500631.24304,+39 17 7129637,0
pc@co@01@000021,132318,4098.15016,+39 601 79 81 8080,500631.24304,+39 81 32099707,0
pc@co@01@000022,132395,27267.13006,+39 171 93 43 1457,500631.24304,+39 9482 20813639,0
pc@co@01@000023,132487,628.109,+39 039 05351948,500631.24304,+39 705 0734715,0
pc@co@01@000024,132908,1983.151,+39 341 79 19 0376,500631.24304,+39 7046 53021325,127
pc@co@01@000025,135966,4108.15011,+39 961 4403833,500631.24304,+39 77 37705458,0
pc@co@01@000026,136123,5665.15006,+39 961 4403833,500631.24304,+39 17 7129637,0
pc@co@01@000027,136342,4098.15016,+39 601 79 81 8080,500631.24304,+39 81 32099707,0
pc@co@01@000028,136459,27267.13006,+39 171 93 43 1457,500631.24304,+39 9482 20813639,0
pc@co@01@000029,136559,628.109,+39 039 05351948,500631.24304,+39 705 0734715,0
pc@co@01@000030,136986,26242.12047,+39 341 79 19 0376,500631.24304,+39 7046 53021325,147
pc@co@01@000031,134548,4108.15011,+39 961 4403833,500631.24304,+39 77 37705458,0
pc@co@01@000032,134687,5665.15006,+39 961 4403833,500631.24304,+39 17 7129637,0
pc@co@01@000033,134959,4098.15016,+39 601 79 81 8080,500631.24304,+39 81 32099707,0
pc@co@01@000034,135057,27267.13006,+39 171 93 43 1457,500631.24304,+39 9482 20813639,0
pc@co@01@000035,135175,628.109,+39 039 05351948,500631.24304,+39 705 0734715,0
pc@co@01@000036,135565,26242.12047,+39 341 79 19 0376,500631.24304,+39 7046 53021325,177
pc@co@01@000037,125523,4108.15011,+39 961 4403833,500631.24304,+39 77 37705458,0
pc@co@01@000038,125823,5665.15006,+39 961 4403833,500631.24304,+39 17 7129637,0
pc@co@01@000039,126023,4098.15016,+39 601 79 81 8080,500631.24304,+39 81 32099707,0
pc@co@01@000040,126190,27267.13006,+39 171 93 43 1457,500631.24304,+39 9482 20813639,0
pc@co@01@000041,126313,628.109,+39 039 05351948,500631.24304,+39 705 0734715,0
pc@co@01@000042,126728,501865.10855,+39 341 79 19 0376,500631.24304,+39 7046 53021325,110
pc@co@01@000043,144444,4108.15011,+39 961 4403833,500631.24304,+39 77 37705458,0
pc@co@01@000044,144698,5665.15006,+39 961 4403833,500631.24304,+39 17 7129637,0
pc@co@01@000045,145000,4098.15016,+39 601 79 81 8080,500631.24304,+39 81 32099707,0
pc@co@01@000046,145107,27267.13006,+39 171 93 43 1457,500631.24304,+39 9482 20813639,0
pc@co@01@000047,145232,628.109,+39 039 05351948,500631.24304,+39 705 0734715,0
pc@co@01@000048,145697,2851.146,+39 341 79 19 0376,500631.24304,+39 7046 53021325,125
pc@co@01@000049,131341,4108.15011,+39 961 4403833,500631.24304,+39 77 37705458,0
pc@co@01@000050,131545,5665.15006,+39 961 4403833,500631.24304,+39 17 7129637,0
pc@co@01@000051,131768,4098.15016,+39 601 79 81 8080,500631.24304,+39 81 32099707,0
pc@co@01@000052,131848,27267.13006,+39 171 93 43 1457,500631.24304,+39 9482 20813639,0
pc@co@01@000053,131956,628.109,+39 039 05351948,500631.24304,+39 705 0734715,0
pc@co@01@000054,132303,1983.151,+39 341 79 19 0376,500631.24304,+39 7046 53021325,94
pc@co@01@000055,143470,4108.15011,+39 961 4403833,500631.24304,+39 77 37705458,0
pc@co@01@000056,143737,5665.15006,+39 961 4403833,500631.24304,+39 17 7129637,0
pc@co@01@000057,143936,4098.15016,+39 601 79 81 8080,500631.24304,+39 81 32099707,0
pc@co@01@000058,144088,27267.13006,+39 171 93 43 1457,500631.24304,+39 9482 20813639,0
pc@co@01@000059,144175,628.109,+39 039 05351948,500631.24304,+39 705 0734715,0
pc@co@01@000060,144591,2514.152,+39 341 79 19 0376,500631.24304,+39 7046 53021325,125
pc@co@01@000061,147516,4108.15011,+39 961 4403833,500631.24304,+39 77 37705458,0
pc@co@01@000062,147715,5665.15006,+39 961 4403833,500631.24304,+39 17 7129637,0
pc@co@01@000063,148002,4098.15016,+39 601 79 81 8080,500631.24304,+39 81 32099707,0
pc@co@01@000064,148106,27267.13006,+39 171 93 43 1457,500631.24304,+39 9482 20813639,0
pc@co@01@000065,148202,628.109,+39 039 05351948,500631.24304,+39 705 0734715,0
pc@co@01@000066,148691,1983.151,+39 341 79 19 0376,500631.24304,+39 7046 53021325,164
pc@co@01@000067,135363,4108.15011,+39 961 4403833,500631.24304,+39 77 37705458,0
pc@co@01@000068,135535,5665.15006,+39 961 4403833,500631.24304,+39 17 7129637,0
pc@co@01@000069,135795,4098.15016,+39 601 79 81 8080,500631.24304,+39 81 32099707,0
pc@co@01@000070,135843,27267.13006,+39 171 93 43 1457,500631.24304,+39 9482 20813639,0
pc@co@01@000071,136006,628.109,+39 039 05351948,500631.24304,+39 705 0734715,0
pc@co@01@000072,136423,2514.152,+39 341 79 19 0376,500631.24304,+39 7046 53021325,120
pc@co@01@000073,143302,4108.15011,+39 961 4403833,500631.24304,+39 77 37705458,0
pc@co@01@000074,143545,5665.15006,+39 961 4403833,500631.24304,+39 17 7129637,0
pc@co@01@000075,143805,4098.15016,+39 601 79 81 8080,500631.24304,+39 81 32099707,0
pc@co@01@000076,143922,27267.13006,+39 171 93 43 1457,500631.24304,+39 9482 20813639,0
pc@co@01@000077,144004,628.109,+39 039 05351948,500631.24304,+39 705 0734715,0
pc@co@01@000078,144423,501481.24673,+39 341 79 19 0376,500631.24304,+39 7046 53021325,123
pc@co@01@000079,121850,4108.15011,+39 961 4403833,500631.24304,+39 77 37705458,0
pc@co@01@000080,122115,5665.15006,+39 961 4403833,500631.24304,+39 17 7129637,0
pc@co@01@000081,122338,4098.15016,+39 601 79 81 8080,500631.24304,+39 81 32099707,0
pc@co@01@000082,122426,27267.13006,+39 171 93 43 1457,500631.24304,+39 9482 20813639,0
pc@co@01@000083,122537,628.109,+39 039 05351948,500631.24304,+39 705 0734715,0
pc@co@01@000084,122916,5684.15014,+39 341 79 19 0376,500631.24304,+39 7046 53021325,116
pc@co@01@000085,144608,4108.15011,+39 961 4403833,500631.24304,+39 77 37705458,0
pc@co@01@000086,144799,5665.15006,+39 961 4403833,500631.24304,+39 17 7129637,0
pc@co@01@000087,145043,4098.15016,+39 601 79 81 8080,500631.24304,+39 81 32099707,0
pc@co@01@000088,145145,27267.13006,+39 171 93 43 1457,500631.24304,+39 9482 20813639,0
pc@co@01@000089,145250,628.109,+39 039 05351948,500631.24304,+39 705 0734715,0
pc@co@01@000090,145752,500152.24269,+39 341 79 19 0376,500631.24304,+39 7046 53021325,121
pc@co@01@000091,133118,4108.15011,+39 961 4403833,500631.24304,+39 77 37705458,0
pc@co@01@000092,133328,5665.15006,+39 961 4403833,500631.24304,+39 17 7129637,0
pc@co@01@000093,133616,4098.15016,+39 601 79 81 8080,500631.24304,+39 81 32099707,0
pc@co@01@000094,133787,27267.13006,+39 171 93 43 1457,500631.24304,+39 9482 20813639,0
pc@co@01@000095,133922,628.109,+39 039 05351948,500631.24304,+39 705 0734715,0
pc@co@01@000096,134434,26242.12047,+39 341 79 19 0376,500631.24304,+39 7046 53021325,121
pc@co@01@000097,122828,4108.15011,+39 961 4403833,500631.24304,+39 77 37705458,0
pc@co@01@000098,123081,5665.15006,+39 961 4403833,500631.24304,+39 17 7129637,0
pc@co@01@000099,123349,4098.15016,+39 601 79 81 8080,500631.24304,+39 81 32099707,0
pc@co@01@000100,123464,27267.13006,+39 171 93 43 1457,500631.24304,+39 9482 20813639,0
pc@co@01@000101,123538,628.109,+39 039 05351948,500631.24304,+39 705 0734715,0
pc@co@01@000102,123783,26242.12047,+39 341 79 19 0376,500631.24304,+39 7046 53021325,118
pc@co@01@000103,145817,4108.15011,+39 961 4403833,500631.24304,+39 77 37705458,0
pc@co@01@000104,146027,5665.15006,+39 961 4403833,500631.24304,+39 17 7129637,0
pc@co@01@000105,146286,4098.15016,+39 601 79 81 8080,500631.24304,+39 81 32099707,0
pc@co@01@000106,146421,27267.13006,+39 171 93 43 1457,500631.24304,+39 9482 20813639,0
pc@co@01@000107,146536,628.109,+39 039 05351948,500631.24304,+39 705 0734715,0
pc@co@01@000108,146983,4089.15014,+39 341 79 19 0376,500631.24304,+39 7046 53021325,125
pc@co@01@000109,126581,4108.15011,+39 961 4403833,500631.24304,+39 77 37705458,0
pc@co@01@000110,126804,5665.15006,+39 961 4403833,500631.24304,+39 17 7129637,0
pc@co@01@000111,126982,4098.15016,+39 601 79 81 8080,500631.24304,+39 81 32099707,0
pc@co@01@000112,127063,27267.13006,+39 171 93 43 1457,500631.24304,+39 9482 20813639,0
pc@co@01@000113,127187,628.109,+39 039 05351948,500631.24304,+39 705 0734715,0
pc@co@01@000114,127539,26.10019,+39 341 79 19 0376,500631.24304,+39 7046 53021325,95
pc@co@01@000115,133430,4108.15011,+39 961 4403833,500631.24304,+39 77 37705458,0
pc@co@01@000116,133706,5665.15006,+39 961 4403833,500631.24304,+39 17 7129637,0
pc@co@01@000117,133962,4098.15016,+39 601 79 81 8080,500631.24304,+39 81 32099707,0
pc@co@01@000118,134057,27267.13006,+39 171 93 43 1457,500631.24304,+39 9482 20813639,0
pc@co@01@000119,134184,628.109,+39 039 05351948,500631.24304,+39 705 0734715,0
pc@co@01@000120,134616,501304.24269,+39 341 79 19 0376,500631.24304,+39 7046 53021325,159
pc@co@01@000121,141986,106.61220,+39 039 05351948,500631.24304,+39 3607 7365962,0
pc@co@01@000122,142147,29705.12000,+39 961 4403833,500631.24304,+39 09 7397991,0
pc@co@01@000123,142273,2850.102,+39 637 9942880,500631.24304,+39 16 2893288,0
pc@co@01@000124,142353,4098.15012,+39 49 00254107,500631.24304,+39 81 82873673,0
pc@co@01@000125,142560,501204.10950,+39 637 9942880,500631.24304,+39 002 68496598,0
pc@co@01@000126,142646,6190.15014,+39 039 05351948,500631.24304,+39 027 49 48 7873,0
